name,price,original_price,discount,model,brand,availability,rating,review_count,image_url,product_url,specifications,category,subcategory,description
AMD Ryzen 5 8500G Desktop PC,"44,500৳46,000৳","46,000৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-8500g-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-8500g-desktop-pc,{},Desktop,Desktop Offer,
AMD Ryzen 5 5500 Gaming PC,"44,252৳48,100৳","48,100৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/40261-02-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5500-gaming-pc,{},Desktop,Desktop Offer,
AMD Ryzen 5 7600 Desktop PC,"50,600৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-8500g-desktop-pc-38905-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-7600-desktop-pc,{},Desktop,Desktop Offer,
AMD Ryzen 7 7700 Budget Gaming Desktop PC,"52,780৳56,149৳","56,149৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-7-7700-budget-gaming-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-7-7700-budget-gaming-pc,{},Desktop,Desktop Offer,
Intel 13th Gen Core i5 13400 Budget Desktop PC with Monitor,"58,999৳60,600৳","60,600৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-13th-gen-core-i5-13400-budget-desktop-pc-with-monitor-228x228.webp,https://www.startech.com.bd/intel-13th-gen-core-i5-13400-budget-desktop-pc-with-monitor,{},Desktop,Desktop Offer,
AMD Ryzen 7 8700G Budget Desktop PC,"60,019৳63,850৳","63,850৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-7-8700g-budget-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-7-8700g-budget-desktop-pc,{},Desktop,Desktop Offer,
AMD Ryzen 5 9600X Gaming Desktop PC,"63,000৳67,100৳","67,100৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-9600x-gaming-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-9600x-gaming-desktop-pc,{},Desktop,Desktop Offer,
AMD Ryzen 5 7500F Gaming PC,"77,499৳81,899৳","81,899৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-7500f-gaming-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-7500f-gaming-pc,{},Desktop,Desktop Offer,
Intel 13th Gen Core i5 13400F Gaming Desktop PC,"79,999৳84,500৳","84,500৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-13th-gen-core-i5-13400f-desktop-pc-001-228x228.webp,https://www.startech.com.bd/intel-13th-gen-core-i5-13400f-desktop-pc,{},Desktop,Desktop Offer,
Intel Core i3-12100 12th Gen Budget Desktop PC,"28,300৳30,120৳","30,120৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-core-i3-12100-12th-gen-budget-desktop-pc-03-228x228.webp,https://www.startech.com.bd/intel-core-i3-12100-12th-gen-budget-desktop-pc,{},Desktop,Star PC,
AMD Ryzen 5 5600G Desktop PC,"30,750৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38904-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600g-desktop-pc,{},Desktop,Star PC,
AMD Ryzen 5 5600G Budget Desktop PC,"28,999৳31,350৳","31,350৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-5600g-budget-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600g-budget-desktop-pc,{},Desktop,Star PC,
Intel 10th Gen Core i5-10400 Desktop PC,"32,150৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-10th-gen-core-i5-10400-desktop-pc-003-228x228.webp,https://www.startech.com.bd/intel-10th-gen-core-i5-10400-desktop-pc,{},Desktop,Star PC,
AMD Ryzen 7 5700G Custom Desktop PC,"30,622৳33,650৳","33,650৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/31452-228x228.webp,https://www.startech.com.bd/amd-ryzen-7-5700g-custom-desktop-pc,{},Desktop,Star PC,
Intel 12th Gen Core i5-12400 Desktop PC,"33,248৳35,750৳","35,750৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38909-228x228.webp,https://www.startech.com.bd/intel-12th-gen-core-i5-12400-desktop-pc,{},Desktop,Star PC,
AMD Ryzen 5 5600G Budget Desktop PC,"39,700৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-budget-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-budget-desktop-pc,{},Desktop,Star PC,
Intel Core i5 14500 14th Gen Desktop PC,"48,500৳51,800৳","51,800৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-core-i5-14500-desktop-pc-228x228.webp,https://www.startech.com.bd/intel-core-i5-14500-desktop-pc,{},Desktop,Star PC,
AMD Ryzen 5 8500G Desktop PC,"44,500৳46,000৳","46,000৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-8500g-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-8500g-desktop-pc,{},Desktop,Star PC,
