chunk_id,strategy,text,length,start_index,end_index
52,sentence,"Subcategory: Brand PC. Price: 83,000৳.

Product: Asus NUC 13 Pro Core i3 13th Gen Portable Mini Pc. Category: Desktop. Price: 46,500৳.

Product: Asus NUC 13 Pro Core i5 13th Gen Portable Mini Pc. ",196,6847,7043
53,sentence,"Category: Desktop. Price: 60,500৳.

Product: Asus PN41 Celeron N5100 Mini PC. Category: Desktop. Price: 26,000৳.

Product: Asus Nuc 14 Essential Core 3 N355 Portable Mini Pc. Category: Desktop. ",194,7043,7237
54,sentence,"Category: Desktop. Price: 36,000৳.

Product: Asus ExpertCenter PN64 Core i3 12th Gen Portable Mini PC. Category: Desktop. Price: 41,000৳.
",138,7218,7356
55,sentence,"Category: Desktop. Price: 41,000৳.

Product: TECLAST K24 Air Intel Celeron N5095 24"" FHD All-in-One PC. Category: Desktop. Price: 42,000৳.
",139,7321,7460
56,sentence,"Category: Desktop. Price: 42,000৳.

Product: AOC A33 Intel Celeron N5095 23.8"" FHD All in One PC. Category: Desktop. Price: 46,500৳.
",133,7425,7558
57,sentence,"Category: Desktop. Price: 46,500৳.

Product: HP Pro Tower 280 G9 Core i3 12th Gen 8GB RAM Desktop PC. Category: Brand PC. Subcategory: Desktop. Price: 52,500৳.
",160,7523,7683
58,sentence,"Subcategory: Desktop. Price: 52,500৳.

Product: Dell OptiPlex 7010 Core i3 12th Gen Tower Desktop PC. Category: Brand PC. Subcategory: Desktop. Price: 53,500৳.
",160,7645,7805
59,sentence,"Subcategory: Desktop. Price: 53,500৳.

Product: Dell VOSTRO 3030 MT Core i5 12th Gen Brand PC (Upgraded). Category: Brand PC. Subcategory: Desktop. Price: 56,000৳.
",164,7767,7931
60,sentence,"Subcategory: Desktop. Price: 56,000৳.

Product: Dell VOSTRO 3030 MT Core i3 14th Gen Brand PC. Category: Brand PC. Subcategory: Desktop. Price: 50,500৳.
",153,7893,8046
61,sentence,"Subcategory: Desktop. Price: 50,500৳.

Product: Dell VOSTRO 3030 MT Core i3 12th Gen Brand PC (Upgraded). Category: Brand PC. Subcategory: Desktop. Price: 46,500৳.
",164,8008,8172
62,sentence,"Subcategory: Desktop. Price: 46,500৳.

Product: Dell VOSTRO 3030 MT Core i7 12th Gen Brand PC (Upgraded). Category: Brand PC. Subcategory: Desktop. Price: 76,000৳.
",164,8134,8298
63,sentence,"Subcategory: Desktop. Price: 76,000৳.

Product: DELL OptiPlex 7010 Core i3 13th Gen 8GB RAM Desktop PC. Category: Brand PC. Subcategory: Desktop. Price: 57,500৳.
",162,8260,8422
64,sentence,"Subcategory: Desktop. Price: 57,500৳.

Product: Dell OptiPlex 7020 Core i3 12th Gen Tower Brand PC. Category: Brand PC. Subcategory: Desktop. Price: 55,000৳.
",158,8384,8542
65,sentence,"Subcategory: Desktop. Price: 55,000৳.

Product: Dell OptiPlex 7020 Core i3 14th Gen Tower Brand PC. Category: Brand PC. Subcategory: Desktop. Price: 63,000৳.
",158,8504,8662
66,sentence,"Subcategory: Desktop. Price: 63,000৳.

Product: HP 280 Pro G9 MT Core i3 14th Gen Brand PC. Category: Brand PC. Subcategory: Desktop. Price: 60,000৳.
",150,8624,8774
67,sentence,"Subcategory: Desktop. Price: 60,000৳.

Product: Dell OptiPlex 7010 Core i5 12th Gen Tower Desktop PC. Category: Brand PC. Subcategory: Desktop. Price: 64,500৳.
",160,8736,8896
68,sentence,"Subcategory: Desktop. Price: 64,500৳.

Product: HP 280 Pro G9 MT Core i5 14th Gen Brand PC. Category: HP. Subcategory: Brand PC. Price: 72,500৳.
",145,8858,9003
69,sentence,"Subcategory: Brand PC. Price: 72,500৳.

Product: HP Pro Tower 400 G9 Core i7 12th Gen Desktop PC with Windows 11 Pro. Category: HP. Subcategory: Brand PC. Price: 95,000৳.
",171,8964,9135
70,sentence,"Subcategory: Brand PC. Price: 95,000৳.

Product: HP Pro Tower 290 G9 Core i3 12th Gen Brand PC. Category: HP. Subcategory: Brand PC. Price: 49,000৳.
",149,9096,9245
71,sentence,"Subcategory: Brand PC. Price: 49,000৳.

Product: HP Pro Tower 290 G9 Core i5 12th Gen Brand PC (Upgraded). Category: HP. Subcategory: Brand PC. Price: 58,000৳.
",160,9206,9366
72,sentence,"Subcategory: Brand PC. Price: 58,000৳.

Product: HP Pro Tower 290 G9 Core i7 12th Gen Brand PC (Upgraded). Category: HP. Subcategory: Brand PC. Price: 76,000৳.
",160,9327,9487
73,sentence,"Subcategory: Brand PC. Price: 76,000৳.

Product: HP Pro Tower 400 G9 Core i5 13th Gen Brand PC (Upgraded). Category: HP. Subcategory: Brand PC. Price: 74,000৳.
",160,9448,9608
74,sentence,"Subcategory: Brand PC. Price: 74,000৳.

Product: HP Pro Tower 280 G9 Core i7 12th Gen 16GB RAM 512GB SSD Desktop PC. Category: HP. Subcategory: Brand PC. Price: 83,000৳.
",170,9569,9739
75,sentence,"Subcategory: Brand PC. Price: 83,000৳.

Product: HP Pro Tower 280 G9 Core i7 14th Gen Brand PC. Category: HP. Subcategory: Brand PC. Price: Up Coming.

Product: AMD Ryzen 5 8400F Gaming PC. ",190,9700,9890
76,sentence,"
Product: AMD Ryzen 5 8400F Gaming PC. Category: Ryzen PC. Subcategory: Star PC. Price: Out Of Stock.

Product: Dell OptiPlex 3000 Core i5 12th Gen Tower Brand PC. Category: Dell. ",180,9851,10031
77,sentence,"Category: Dell. Subcategory: Brand PC. Price: 65,000৳.

Product: Dell OptiPlex 7020 Core i5 12th Gen Tower Brand PC. Category: Dell. Subcategory: Brand PC. Price: 66,500৳.
",172,10015,10187
78,sentence,"Subcategory: Brand PC. Price: 66,500৳.

Product: DELL OptiPlex 7010 Tower Core i5 13th Gen 512GB Brand PC. Category: Dell. Subcategory: Brand PC. Price: 70,500৳.
",162,10148,10310
79,sentence,"Subcategory: Brand PC. Price: 70,500৳.

Product: Dell VOSTRO 3030 MT Core i5 14th Gen Brand PC. Category: Dell. Subcategory: Brand PC. Price: 64,000৳.
",151,10271,10422
80,sentence,"Subcategory: Brand PC. Price: 64,000৳.

Product: Dell OptiPlex 7020 Core i5 13th Gen Tower Brand PC. Category: Dell. Subcategory: Brand PC. Price: 72,000৳.
",156,10383,10539
81,sentence,"Subcategory: Brand PC. Price: 72,000৳.

Product: Dell Inspiron 3030 MT Core i5 14th Gen Brand PC. Category: Dell. Subcategory: Brand PC. Price: 73,000৳.
",153,10500,10653
82,sentence,"Subcategory: Brand PC. Price: 73,000৳.

Product: Dell OptiPlex Tower 7020 Plus Core i5 14th Gen Brand PC. Category: Dell. Subcategory: Brand PC. Price: 75,000৳.
",161,10614,10775
83,sentence,"Subcategory: Brand PC. Price: 75,000৳.

Product: Dell OptiPlex 7010 Core i7 13th Gen Brand PC. Category: Dell. Subcategory: Brand PC. Price: 93,000৳.
",150,10736,10886
84,sentence,"Subcategory: Brand PC. Price: 93,000৳.

Product: Dell Vostro 3020T Core i7 13th Gen Desktop PC. Category: Dell. Subcategory: Brand PC. Price: 95,000৳.
",151,10847,10998
85,sentence,"Subcategory: Brand PC. Price: 95,000৳.

Product: Dell OptiPlex 7020 MT Core i7 13th Gen Mini Tower Brand PC. Category: Dell. Subcategory: Brand PC. Price: 95,000৳.
",164,10959,11123
