chunk_id,strategy,text,length,start_index,end_index
136,token," 50,000৳.

Product: Lenovo ThinkCentre Neo 50s Gen",50,5440,5490
137,token,eo 50s Gen 4 Core i3 13th Gen 512GB SSD Brand PC. ,50,5480,5530
138,token,Brand PC. Category: Lenovo. Subcategory: Brand PC.,50,5520,5570
139,token," Brand PC. Price: 51,500৳.

Product: Lenovo ThinkC",50,5560,5610
140,token,ovo ThinkCentre Neo 50t Gen 4 Core i3 13th Gen Bra,50,5600,5650
141,token,th Gen Brand PC. Category: Lenovo. Subcategory: Br,50,5640,5690
142,token,"tegory: Brand PC. Price: 52,500৳.

Product: Lenovo",50,5680,5730
143,token,ct: Lenovo IdeaCentre 3 07IRB8 Core i5 14th Gen Br,50,5720,5770
144,token,4th Gen Brand PC (Upgraded). Category: Lenovo. Sub,50,5760,5810
145,token,"enovo. Subcategory: Brand PC. Price: 62,000৳.

Pro",50,5800,5850
146,token,"000৳.

Product: Lenovo ThinkCentre Neo 50t Gen 4 C",50,5840,5890
147,token,0t Gen 4 Core i5 13th Gen Brand PC. Category: Leno,50,5880,5930
148,token,"gory: Lenovo. Subcategory: Brand PC. Price: 62,500",50,5920,5970
149,token,"ce: 62,500৳.

Product: Lenovo ThinkCentre Neo 50s ",50,5960,6010
150,token,e Neo 50s Gen 4 Core i5 12th Gen 512GB SSD Brand P,50,6000,6050
151,token,SD Brand PC. Category: Lenovo. Subcategory: Brand ,50,6040,6090
152,token,"ry: Brand PC. Price: 62,500৳.

Product: Lenovo Thi",50,6080,6130
153,token,Lenovo ThinkCentre Neo 50t Gen 4 Core i5 13th Gen ,50,6120,6170
154,token, 13th Gen Brand PC. Category: Lenovo. Subcategory:,50,6160,6210
155,token,"bcategory: Brand PC. Price: 65,500৳.

Product: Len",50,6200,6250
156,token,oduct: Lenovo ThinkCentre Neo 50t Gen 4 Core i5 13,50,6240,6290
157,token,Core i5 13th Gen 512GB SSD Brand PC. Category: Len,50,6280,6330
158,token,"egory: Lenovo. Subcategory: Brand PC. Price: 65,50",50,6320,6370
159,token,"ice: 65,500৳.

Product: Lenovo ThinkCentre Neo 50s",50,6360,6410
160,token,re Neo 50s SFF Core i7 12th Gen Brand PC. Category,50,6400,6450
161,token,. Category: Lenovo. Subcategory: Brand PC. Price: ,50,6440,6490
162,token,"C. Price: 71,500৳.

Product: Lenovo ThinkCentre Ne",50,6480,6530
163,token,kCentre Neo 50s Core i7 12th Gen 1TB SSD Brand PC.,50,6520,6570
164,token, Brand PC. Category: Lenovo. Subcategory: Brand PC,50,6560,6610
165,token,": Brand PC. Price: 72,500৳.

Product: Lenovo IdeaC",50,6600,6650
166,token,novo IdeaCentre 3 07IAB7 Core i7 12th Gen Desktop ,50,6640,6690
167,token,n Desktop PC. Category: Lenovo. Subcategory: Brand,50,6680,6730
168,token,"ory: Brand PC. Price: 71,500৳73,500৳.

Product: Le",50,6720,6770
169,token,roduct: Lenovo ThinkCentre M70s Gen 3 SFF Core i7 ,50,6760,6810
170,token,F Core i7 12th Gen Brand PC. Category: Lenovo. Sub,50,6800,6850
171,token,"enovo. Subcategory: Brand PC. Price: 83,000৳.

Pro",50,6840,6890
172,token,"000৳.

Product: Asus NUC 13 Pro Core i3 13th Gen P",50,6880,6930
173,token,13th Gen Portable Mini Pc. Category: Desktop. Pric,50,6920,6970
174,token,"ktop. Price: 46,500৳.

Product: Asus NUC 13 Pro Co",50,6960,7010
175,token, 13 Pro Core i5 13th Gen Portable Mini Pc. Categor,50,7000,7050
176,token,"c. Category: Desktop. Price: 60,500৳.

Product: As",50,7040,7090
177,token,roduct: Asus PN41 Celeron N5100 Mini PC. Category:,50,7080,7130
178,token," Category: Desktop. Price: 26,000৳.

Product: Asus",50,7120,7170
179,token,duct: Asus Nuc 14 Essential Core 3 N355 Portable M,50,7160,7210
180,token,"Portable Mini Pc. Category: Desktop. Price: 36,000",50,7200,7250
181,token,"ce: 36,000৳.

Product: Asus ExpertCenter PN64 Core",50,7240,7290
182,token, PN64 Core i3 12th Gen Portable Mini PC. Category:,50,7280,7330
183,token," Category: Desktop. Price: 41,000৳.

Product: TECL",50,7320,7370
184,token,"duct: TECLAST K24 Air Intel Celeron N5095 24"" FHD ",50,7360,7410
185,token,"5 24"" FHD All-in-One PC. Category: Desktop. Price:",50,7400,7450
186,token,"op. Price: 42,000৳.

Product: AOC A33 Intel Celero",50,7440,7490
187,token,"tel Celeron N5095 23.8"" FHD All in One PC. Categor",50,7480,7530
188,token,"C. Category: Desktop. Price: 46,500৳.

Product: HP",50,7520,7570
189,token,roduct: HP Pro Tower 280 G9 Core i3 12th Gen 8GB R,50,7560,7610
190,token, Gen 8GB RAM Desktop PC. Category: Brand PC. Subca,50,7600,7650
191,token," PC. Subcategory: Desktop. Price: 52,500৳.

Produc",50,7640,7690
192,token,"৳.

Product: Dell OptiPlex 7010 Core i3 12th Gen T",50,7680,7730
193,token,12th Gen Tower Desktop PC. Category: Brand PC. Sub,50,7720,7770
194,token,"nd PC. Subcategory: Desktop. Price: 53,500৳.

Prod",50,7760,7810
195,token,"00৳.

Product: Dell VOSTRO 3030 MT Core i5 12th Ge",50,7800,7850
196,token,i5 12th Gen Brand PC (Upgraded). Category: Brand P,50,7840,7890
197,token,"y: Brand PC. Subcategory: Desktop. Price: 56,000৳.",50,7880,7930
198,token,": 56,000৳.

Product: Dell VOSTRO 3030 MT Core i3 1",50,7920,7970
199,token, Core i3 14th Gen Brand PC. Category: Brand PC. Su,50,7960,8010
200,token,"and PC. Subcategory: Desktop. Price: 50,500৳.

Pro",50,8000,8050
201,token,"500৳.

Product: Dell VOSTRO 3030 MT Core i3 12th G",50,8040,8090
202,token, i3 12th Gen Brand PC (Upgraded). Category: Brand ,50,8080,8130
203,token,"ry: Brand PC. Subcategory: Desktop. Price: 46,500৳",50,8120,8170
204,token,"e: 46,500৳.

Product: Dell VOSTRO 3030 MT Core i7 ",50,8160,8210
205,token,T Core i7 12th Gen Brand PC (Upgraded). Category: ,50,8200,8250
206,token,Category: Brand PC. Subcategory: Desktop. Price: 7,50,8240,8290
